,datetime,latitude,longitude,temperature
371957,2021-01-01 00:00:00,38.87,-77.02,6.3
204085,2021-01-01 00:00:00,38.95,-77.45,5.0
1083939,2021-01-01 00:00:00,38.85,-77.033,6.1
626057,2021-01-01 00:15:00,38.527,-77.859,6.0
604560,2021-01-01 00:15:00,38.583,-77.717,5.8
517351,2021-01-01 00:15:00,38.267,-77.449,7.1
104208,2021-01-01 00:15:00,38.398,-77.455,6.7
1343546,2021-01-01 00:35:00,38.267,-77.449,7.0
596463,2021-01-01 00:35:00,38.398,-77.455,6.6
519395,2021-01-01 00:35:00,38.01,-77.97,5.6
659529,2021-01-01 00:35:00,38.527,-77.859,5.7
1050481,2021-01-01 00:35:00,38.583,-77.717,5.6
483154,2021-01-01 00:52:00,38.847,-77.035,5.6
1181924,2021-01-01 00:52:00,38.935,-77.447,5.0
99583,2021-01-01 00:55:00,38.527,-77.859,5.6
520668,2021-01-01 00:55:00,38.01,-77.97,5.5
119457,2021-01-01 00:55:00,38.267,-77.449,7.0
1127706,2021-01-01 00:55:00,38.583,-77.717,5.6
1121280,2021-01-01 00:55:00,38.398,-77.455,6.5
276023,2021-01-01 00:56:00,38.721,-77.515,5.0
1255760,2021-01-01 00:56:00,38.715,-77.181,6.1
224973,2021-01-01 00:56:00,38.504,-77.305,7.2
723946,2021-01-01 01:00:00,38.87,-77.02,6.0
1111961,2021-01-01 01:07:00,38.715,-77.181,6.0
108754,2021-01-01 01:15:00,38.583,-77.717,5.5
120946,2021-01-01 01:15:00,38.267,-77.449,7.0
719926,2021-01-01 01:15:00,38.01,-77.97,5.3
102886,2021-01-01 01:15:00,38.527,-77.859,5.5
206463,2021-01-01 01:21:00,38.715,-77.181,6.0
962808,2021-01-01 01:35:00,38.01,-77.97,5.1
102049,2021-01-01 01:35:00,38.527,-77.859,5.2
1130640,2021-01-01 01:35:00,38.583,-77.717,5.5
116555,2021-01-01 01:35:00,38.267,-77.449,6.8
1178604,2021-01-01 01:52:00,38.935,-77.447,5.0
881123,2021-01-01 01:52:00,38.847,-77.035,6.1
529573,2021-01-01 01:55:00,38.583,-77.717,5.5
106561,2021-01-01 01:55:00,38.398,-77.455,6.3
116629,2021-01-01 01:55:00,38.267,-77.449,6.6
732814,2021-01-01 01:55:00,38.527,-77.859,5.2
275687,2021-01-01 01:56:00,38.721,-77.515,5.0
1204292,2021-01-01 01:56:00,38.504,-77.305,6.7
909277,2021-01-01 01:56:00,38.715,-77.181,5.9
725457,2021-01-01 02:00:00,38.87,-77.02,5.9
528244,2021-01-01 02:15:00,38.583,-77.717,5.5
1121335,2021-01-01 02:15:00,38.398,-77.455,6.3
965068,2021-01-01 02:15:00,38.01,-77.97,4.9
517268,2021-01-01 02:15:00,38.267,-77.449,6.5
98752,2021-01-01 02:15:00,38.527,-77.859,5.2
122955,2021-01-01 02:35:00,38.01,-77.97,4.8
1356233,2021-01-01 02:35:00,38.527,-77.859,5.2
961257,2021-01-01 02:35:00,38.267,-77.449,6.5
1131398,2021-01-01 02:35:00,38.583,-77.717,5.5
1045315,2021-01-01 02:35:00,38.398,-77.455,6.2
1045382,2021-01-01 02:52:00,38.935,-77.447,4.4
737296,2021-01-01 02:52:00,38.847,-77.035,5.0
520983,2021-01-01 02:55:00,38.398,-77.455,6.2
